Dataset,Organism,Group,Ecosystem,Site_num,Area,Ave_TP,Ave_AL,Ave_AT,Ave_AP,Ave_Elevation,Gamma_Diversity,Max_Distance,Ave_HFP,Ave_Builtup,Ave_Crops,Ave_Forest,Body_size,Dispersal_type,X,Y,FDGamma,Mean_Urban,Mean_Agriculture,Mean_Forest,Code
RFIBD_4,Benthic Diatoms,Producer,River,196,266196.4806,34.5372449,63.2932174,2.245153055,604.0306122,160.2602041,208,10.7195868,9.50447158,2.225858413,8.306219823,53.92335288,7.94E-09,Passive,25.81966943,63.2932174,0.213935978,1.926108957,6.293820188,55.2555895,BD18
RFIBM,Benthic Macroinvertebrates,Consumer,River,105,85006.7315,71.52008095,62.82090516,3.22180421,592.7087379,79.87378641,134,6.987149098,12.65669697,4.853318475,18.62515546,43.27205484,0.026061535,Active,23.89781694,62.86096582,0.022974868,3.461151212,15.65749292,49.32427814,BM06
RFRBD,Benthic Diatoms,Producer,River,2646,675795.1089,132.4888207,46.61753221,11.08644455,825.7916824,242.7992439,990,12.86993984,22.78690946,17.91155957,31.66785795,25.86175857,7.94E-09,Passive,2.961451245,46.61654736,0.091776848,13.3513728,36.94311816,25.66736093,BD17
RGEBM,Benthic Macroinvertebrates,Consumer,River,124,5103.859054,13.87096774,64.56364731,1.262217497,614.0762712,255.8050847,94,23.78278241,6.902338536,0.154969499,0.069819629,80.88182275,0.026061535,Active,20.4193976,62.79907243,0.043276629,0.130646818,0.041520505,79.10825299,BM23
RHIBD,Benthic Diatoms,Producer,River,48,19291.32591,11.70555804,21.19606689,22.4213888,2249.622222,204.4666667,286,5.128382996,23.92427568,4.132039889,2.392161042,58.53953981,7.94E-09,Passive,-157.5872991,21.20364671,0.029144777,7.039167577,2.562064345,54.46734093,BD01
RICBD,Benthic Diatoms,Producer,River,45,53225.56847,45.13333333,64.82236423,1.877777773,1027.377778,396.3555556,125,6.813537416,4.480915593,0.194118093,1.797309529,1.435956256,7.94E-09,Passive,-19.42781317,64.82236423,0.046821389,0.214694496,1.792668014,1.240923433,BD09
RITFI,Fish,Consumer,River,248,53603.66228,10.06262097,44.81469856,12.99233871,778.0524194,78.97580645,60,5.647350541,25.62221918,18.01792393,32.32140751,18.65503399,266.6858665,Active,10.85981565,44.70737649,0.212846307,16.89285144,41.99696811,14.81430371,FI01
RKEBD,Benthic Diatoms,Producer,River,61,212.9132793,699.0163934,3.405580176,19.64849728,1063.672131,1353.508197,234,0.212937515,15.99554465,2.743296716,15.86445576,36.7563097,7.94E-09,Passive,38.35509124,-3.405580176,0.094326854,1.492458297,15.4164016,38.34999212,BD20
RPEBM,Benthic Macroinvertebrates,Consumer,River,40,156098.7815,495.25,7.082953214,25.16166696,2385.1,211.5,43,0.145997573,0.309462839,0,0,100.0000008,0.026061535,Active,-72.52485198,-7.082953214,0.086236203,0,0,99.99277218,BM21
RUSBD,Benthic Diatoms,Producer,River,934,8444626.023,60.46697226,40.05762214,11.25423357,923.6884368,396.4004283,828,52.75812002,23.29106478,16.31438745,12.04011336,40.65835946,7.94E-09,Passive,-91.77987444,40.05762214,0.104970205,16.44384916,15.59777522,38.4239681,BD16
RUSBM,Benthic Macroinvertebrates,Consumer,River,1909,9723931.003,12.1434924,40.27542161,10.48024642,853.5506094,569.963434,893,56.87824098,13.59250236,4.322319007,13.55375027,42.24395366,0.026061535,Active,-94.36279133,40.28364887,0.034101595,4.936261496,15.59904069,41.3077216,BM14
RUSBM_2,Benthic Macroinvertebrates,Consumer,River,2058,9290349.63,139.6399417,40.5849851,10.35061089,867.7335606,564.9444715,891,56.87235062,13.27867421,4.051434385,13.36994797,42.8696984,0.026061535,Active,-95.02416576,40.59414916,0.02467766,4.704958759,15.26084189,42.08131941,BM18
RUSBM_3,Benthic Macroinvertebrates,Consumer,River,1847,9214809.134,167.9602756,40.2733219,10.75905611,899.8697479,446.727491,973,56.84080776,13.20771208,3.871619873,13.54835938,40.87337699,0.026061535,Active,-94.30754424,39.66504696,0.030353107,4.661083648,15.51488487,40.64355792,BM19
RUSBM_4,Benthic Macroinvertebrates,Consumer,River,1096,8331420.651,91.08850365,40.06294477,9.884825246,841.8882784,816.6098901,906,57.26975838,9.016466659,2.479294136,11.3078674,49.47494999,0.026061535,Active,-99.60239138,40.13867518,0.043507873,2.552683128,12.28960948,47.6050181,BM20
RUSFI,Fish,Consumer,River,1406,9499332.774,134.6994403,39.79841072,11.09821598,930.5533428,401.6386913,611,56.81949197,14.63625842,4.698026716,14.44869785,43.91331522,266.6858665,Active,-92.35200712,40.00889675,0.142603475,5.563243977,17.20941683,43.07041351,FI04
RUSFI_2,Fish,Consumer,River,1667,9214779.75,142.2005999,40.2733219,10.75905611,899.8697479,446.727491,626,56.87235062,13.95473952,4.267028423,14.03367496,42.94289546,266.6858665,Active,-93.62417476,40.43657997,0.1468012,5.131410859,16.63028025,42.08881987,FI05
RUSFI_3,Fish,Consumer,River,1635,9318260.409,131.7717516,39.51575271,11.44247707,943.653211,404.5559633,622,56.91444355,13.68419932,3.966026202,13.60036768,42.72905249,266.6858665,Active,-93.38454769,39.72599536,0.146171279,4.810001135,16.1224676,43.10458246,FI06
